Classificação_Lucro;Auditoria_De_Frete;Verificação_De_Entrega;Comissões;Classificação_Demográfica
Alta Lucratividade;Frete OK;3;408,42;Adulto
Alta Lucratividade;Frete OK;Pendente;487,312;Adulto
Alta Lucratividade;Frete OK;20;497,61;Adulto
Lucratividade Normal;Frete OK;Pendente;269,365;Adulto
Alta Lucratividade;Frete OK;Pendente;451,44;Jovem
Lucratividade Normal;Frete OK;19;592,5;Adulto
Lucratividade Normal;Auditar Frete;Pendente;3,8;Adulto
Alta Lucratividade;Frete OK;Pendente;2256,5;Adulto
Alta Lucratividade;Frete OK;24;604,8;Adulto
Lucratividade Normal;Frete OK;13;175,032;Jovem
Lucratividade Normal;Auditar Frete;19;77;Adulto
Lucratividade Normal;Frete OK;6;249,48;Adulto
Alta Lucratividade;Frete OK;15;1677,2;Adulto
Lucratividade Normal;Frete OK;20;168,15;Jovem
Lucratividade Normal;Frete OK;Pendente;538;Adulto
Lucratividade Normal;Frete OK;15;44,172;Jovem
Alta Lucratividade;Frete OK;Pendente;438,328;Adulto
Lucratividade Normal;Auditar Frete;9;16,92;Adulto
Lucratividade Normal;Frete OK;Pendente;178,1;Adulto
Lucratividade Normal;Frete OK;Pendente;383,4;Adulto
Lucratividade Normal;Frete OK;25;186,32;Jovem
Lucratividade Normal;Auditar Frete;14;5,776;Adulto
Alta Lucratividade;Frete OK;25;362,976;Adulto
Lucratividade Normal;Frete OK;19;249,4;Adulto
Alta Lucratividade;Frete OK;9;240,54;Adulto
Alta Lucratividade;Frete OK;Pendente;1764;Adulto
Lucratividade Normal;Frete OK;18;159,3;Adulto
Lucratividade Normal;Frete OK;18;62,928;Adulto
Alta Lucratividade;Frete OK;23;498,096;Jovem
Lucratividade Normal;Frete OK;10;324,819;Adulto
Alta Lucratividade;Frete OK;Pendente;384,636;Adulto
Lucratividade Normal;Frete OK;19;185,688;Jovem
Lucratividade Normal;Frete OK;Pendente;186,32;Adulto
Lucratividade Normal;Frete OK;5;139,032;Adulto
Lucratividade Normal;Frete OK;7;23,56;Adulto
Alta Lucratividade;Frete OK;Pendente;1480,05;Adulto
Lucratividade Normal;Frete OK;2;148,104;Adulto
Alta Lucratividade;Frete OK;15;770,61;Adulto
Alta Lucratividade;Frete OK;Pendente;442,8;Adulto
Lucratividade Normal;Frete OK;Pendente;177,916;Adulto
Lucratividade Normal;Frete OK;3;86,127;Adulto
Alta Lucratividade;Frete OK;6;983,15;Adulto
Alta Lucratividade;Frete OK;12;296,956;Adulto
Alta Lucratividade;Frete OK;Pendente;1029,9;Adulto
Alta Lucratividade;Frete OK;Pendente;453,628;Adulto
Alta Lucratividade;Frete OK;Pendente;1216,2;Jovem
Alta Lucratividade;Frete OK;Pendente;422,535;Adulto
Lucratividade Normal;Frete OK;5;123,12;Adulto
Lucratividade Normal;Auditar Frete;8;22,95;Adulto
Lucratividade Normal;Frete OK;Pendente;470,25;Adulto
Alta Lucratividade;Frete OK;2;531,9;Adulto
Lucratividade Normal;Frete OK;Pendente;138,805;Adulto
Alta Lucratividade;Frete OK;Pendente;1765,6;Adulto
Lucratividade Normal;Auditar Frete;Pendente;22,5;Adulto
Alta Lucratividade;Frete OK;12;504,63;Adulto
Alta Lucratividade;Frete OK;Pendente;689,112;Adulto
Alta Lucratividade;Frete OK;8;250,512;Adulto
Lucratividade Normal;Frete OK;21;83,106;Adulto
Lucratividade Normal;Frete OK;19;136,059;Adulto
Alta Lucratividade;Frete OK;18;230,166;Adulto
Lucratividade Normal;Frete OK;4;128,668;Adulto
Lucratividade Normal;Frete OK;5;159,516;Jovem
Lucratividade Normal;Auditar Frete;Pendente;56,661;Adulto
Lucratividade Normal;Frete OK;Pendente;62,604;Adulto
Alta Lucratividade;Frete OK;Pendente;415,89;Adulto
Lucratividade Normal;Frete OK;5;63,63;Adulto
Alta Lucratividade;Frete OK;Pendente;745,15;Adulto
Alta Lucratividade;Frete OK;Pendente;641;Adulto
Lucratividade Normal;Auditar Frete;5;30,834;Adulto
Alta Lucratividade;Frete OK;Pendente;574;Adulto
Lucratividade Normal;Frete OK;Pendente;130,5;Adulto
Lucratividade Normal;Frete OK;16;377,2;Adulto
Alta Lucratividade;Frete OK;Pendente;432,432;Adulto
Lucratividade Normal;Frete OK;Pendente;298,656;Jovem
Lucratividade Normal;Frete OK;Pendente;198,74;Adulto
Alta Lucratividade;Frete OK;9;591,5;Adulto
Alta Lucratividade;Frete OK;4;456,498;Adulto
Alta Lucratividade;Frete OK;Pendente;371,11;Jovem
Lucratividade Normal;Frete OK;Pendente;179,28;Adulto
Alta Lucratividade;Frete OK;Pendente;583,87;Adulto
Lucratividade Normal;Frete OK;18;124,2;Jovem
Alta Lucratividade;Frete OK;Pendente;385,398;Adulto
Lucratividade Normal;Frete OK;18;272;Adulto
Alta Lucratividade;Frete OK;17;701,352;Adulto
Alta Lucratividade;Frete OK;Pendente;610,3;Adulto
Lucratividade Normal;Frete OK;5;170,187;Adulto
Alta Lucratividade;Frete OK;22;460,89;Adulto
Lucratividade Normal;Frete OK;16;135,456;Jovem
Alta Lucratividade;Frete OK;20;501,6;Adulto
Lucratividade Normal;Frete OK;17;163,71;Adulto
Lucratividade Normal;Frete OK;Pendente;66,742;Adulto
Alta Lucratividade;Frete OK;17;1845,45;Adulto
Alta Lucratividade;Frete OK;Pendente;593,1;Adulto
Alta Lucratividade;Frete OK;4;687,42;Jovem
Lucratividade Normal;Frete OK;24;102,6;Jovem
Alta Lucratividade;Frete OK;Pendente;498,33;Adulto
Lucratividade Normal;Auditar Frete;Pendente;50,49;Jovem
Lucratividade Normal;Frete OK;Pendente;167,195;Adulto
Lucratividade Normal;Auditar Frete;22;36,6;Adulto
Alta Lucratividade;Frete OK;6;385,947;Adulto
Lucratividade Normal;Frete OK;Pendente;45,524;Adulto
Alta Lucratividade;Frete OK;Pendente;500,832;Adulto
Lucratividade Normal;Frete OK;16;60,838;Adulto
Alta Lucratividade;Frete OK;Pendente;447,44;Adulto
Lucratividade Normal;Frete OK;3;203,5;Adulto
Lucratividade Normal;Frete OK;Pendente;34,2;Jovem
Lucratividade Normal;Frete OK;8;106,812;Adulto
Alta Lucratividade;Frete OK;10;290,934;Adulto
Lucratividade Normal;Frete OK;11;427,95;Adulto
Alta Lucratividade;Frete OK;Pendente;1201,8;Adulto
Alta Lucratividade;Frete OK;Pendente;573,138;Adulto
Alta Lucratividade;Frete OK;12;707,25;Jovem
Lucratividade Normal;Auditar Frete;Pendente;26,214;Adulto
Lucratividade Normal;Frete OK;Pendente;78,557;Adulto
Lucratividade Normal;Frete OK;14;53,298;Adulto
Alta Lucratividade;Frete OK;18;551,684;Adulto
Lucratividade Normal;Frete OK;13;420,9;Jovem
Lucratividade Normal;Frete OK;Pendente;213,095;Adulto
Lucratividade Normal;Auditar Frete;Pendente;57,3;Adulto
Lucratividade Normal;Auditar Frete;16;23,596;Adulto
Lucratividade Normal;Frete OK;20;97,056;Adulto
Lucratividade Normal;Frete OK;9;137,224;Adulto
Alta Lucratividade;Frete OK;17;820,44;Adulto
Lucratividade Normal;Frete OK;Pendente;532,5;Adulto
Lucratividade Normal;Frete OK;Pendente;229,7;Adulto
Lucratividade Normal;Frete OK;Pendente;58,083;Jovem
Alta Lucratividade;Frete OK;2;411,901;Jovem
Lucratividade Normal;Frete OK;Pendente;115,272;Adulto
Alta Lucratividade;Frete OK;13;398,664;Adulto
Alta Lucratividade;Frete OK;Pendente;509,082;Jovem
Lucratividade Normal;Frete OK;Pendente;17,578;Adulto
Lucratividade Normal;Frete OK;Pendente;188,36;Adulto
Lucratividade Normal;Auditar Frete;11;36,6;Adulto
Lucratividade Normal;Frete OK;Pendente;105,906;Adulto
Alta Lucratividade;Frete OK;18;763,6;Jovem
Lucratividade Normal;Frete OK;Pendente;84,507;Adulto
Lucratividade Normal;Frete OK;Pendente;69,282;Adulto
Lucratividade Normal;Auditar Frete;6;6,069;Adulto
Alta Lucratividade;Frete OK;Pendente;442,8;Adulto
Lucratividade Normal;Frete OK;Pendente;185,589;Jovem
Alta Lucratividade;Frete OK;Pendente;364,914;Adulto
Alta Lucratividade;Frete OK;10;1514,7;Adulto
Lucratividade Normal;Frete OK;Pendente;473;Adulto
Lucratividade Normal;Frete OK;Pendente;64,422;Adulto
Alta Lucratividade;Frete OK;4;707,292;Adulto
Alta Lucratividade;Frete OK;Pendente;630,207;Adulto
Alta Lucratividade;Frete OK;Pendente;404,605;Adulto
Lucratividade Normal;Frete OK;9;289,4;Adulto
Alta Lucratividade;Frete OK;10;215,536;Adulto
Lucratividade Normal;Frete OK;Pendente;351,519;Adulto
Alta Lucratividade;Frete OK;Pendente;591,736;Adulto
Alta Lucratividade;Frete OK;Pendente;269,382;Jovem
Lucratividade Normal;Frete OK;Pendente;84,265;Adulto
Alta Lucratividade;Frete OK;5;457,056;Adulto
Alta Lucratividade;Frete OK;16;586,782;Adulto
Lucratividade Normal;Frete OK;25;156,1;Adulto
Lucratividade Normal;Frete OK;Pendente;78,984;Adulto
Lucratividade Normal;Frete OK;Pendente;290,1;Adulto
Lucratividade Normal;Frete OK;24;117,819;Adulto
Lucratividade Normal;Auditar Frete;Pendente;45,288;Adulto
Alta Lucratividade;Frete OK;9;598,878;Adulto
Alta Lucratividade;Frete OK;20;1465,8;Adulto
Lucratividade Normal;Frete OK;23;220,95;Adulto
Lucratividade Normal;Frete OK;Pendente;52,776;Adulto
Alta Lucratividade;Frete OK;Pendente;558,6;Adulto
Alta Lucratividade;Frete OK;5;562,932;Adulto
Alta Lucratividade;Frete OK;Pendente;454,788;Jovem
Lucratividade Normal;Frete OK;Pendente;88,536;Adulto
Lucratividade Normal;Frete OK;11;183,635;Adulto
Alta Lucratividade;Frete OK;3;589,19;Adulto
Lucratividade Normal;Frete OK;25;213,066;Adulto
Lucratividade Normal;Frete OK;25;112,404;Adulto
Lucratividade Normal;Frete OK;21;99,37;Adulto
Lucratividade Normal;Frete OK;Pendente;159,336;Adulto
Lucratividade Normal;Frete OK;Pendente;124,032;Adulto
Alta Lucratividade;Frete OK;23;297,568;Adulto
Lucratividade Normal;Frete OK;Pendente;178,5;Adulto
Lucratividade Normal;Frete OK;Pendente;178,254;Adulto
Lucratividade Normal;Auditar Frete;Pendente;43,833;Adulto
Lucratividade Normal;Frete OK;Pendente;203,031;Adulto
Alta Lucratividade;Frete OK;Pendente;296,064;Adulto
Alta Lucratividade;Frete OK;5;919,35;Adulto
Alta Lucratividade;Frete OK;11;570,437;Adulto
Alta Lucratividade;Frete OK;10;320,535;Adulto
Alta Lucratividade;Frete OK;2;2227,5;Adulto
Alta Lucratividade;Frete OK;22;448,8;Adulto
Lucratividade Normal;Frete OK;22;656,2;Adulto
Lucratividade Normal;Frete OK;15;115,77;Adulto
Lucratividade Normal;Auditar Frete;Pendente;64,41;Adulto
Alta Lucratividade;Frete OK;15;268,812;Adulto
Alta Lucratividade;Frete OK;Pendente;433,77;Adulto
Lucratividade Normal;Frete OK;14;105,468;Adulto
Alta Lucratividade;Frete OK;Pendente;195,048;Adulto
Alta Lucratividade;Frete OK;3;303,183;Adulto
Lucratividade Normal;Auditar Frete;Pendente;49,324;Adulto
Lucratividade Normal;Frete OK;20;211,616;Adulto
Lucratividade Normal;Frete OK;8;129,064;Adulto
Lucratividade Normal;Frete OK;Pendente;28,576;Adulto
Lucratividade Normal;Frete OK;Pendente;50,082;Jovem
Lucratividade Normal;Frete OK;10;321,984;Adulto
Alta Lucratividade;Frete OK;19;1431;Adulto
Lucratividade Normal;Frete OK;Pendente;83,844;Adulto
Alta Lucratividade;Frete OK;Pendente;494,7;Adulto
Lucratividade Normal;Frete OK;Pendente;232,864;Jovem
Lucratividade Normal;Frete OK;12;137,768;Adulto
Alta Lucratividade;Frete OK;5;411,92;Adulto
Lucratividade Normal;Frete OK;7;52,122;Adulto
Alta Lucratividade;Frete OK;Pendente;523,584;Adulto
Lucratividade Normal;Frete OK;7;245,565;Adulto
Lucratividade Normal;Frete OK;22;21,528;Adulto
Alta Lucratividade;Frete OK;Pendente;405;Adulto
Alta Lucratividade;Frete OK;17;413,1;Adulto
Lucratividade Normal;Frete OK;Pendente;105,3;Jovem
Alta Lucratividade;Frete OK;10;326,016;Adulto
Alta Lucratividade;Frete OK;25;460;Adulto
Lucratividade Normal;Frete OK;14;146,832;Adulto
Alta Lucratividade;Frete OK;22;579,852;Adulto
Lucratividade Normal;Frete OK;Pendente;711,5;Adulto
Lucratividade Normal;Frete OK;Pendente;160,668;Jovem
Lucratividade Normal;Frete OK;17;123,25;Adulto
Lucratividade Normal;Frete OK;Pendente;135,356;Adulto
Alta Lucratividade;Frete OK;21;444,258;Adulto
Alta Lucratividade;Frete OK;Pendente;548,947;Adulto
Lucratividade Normal;Frete OK;10;299,8;Jovem
Alta Lucratividade;Frete OK;21;503,712;Adulto
Lucratividade Normal;Frete OK;23;231;Adulto
Lucratividade Normal;Auditar Frete;Pendente;33,84;Adulto
Alta Lucratividade;Frete OK;Pendente;631,55;Jovem
Lucratividade Normal;Frete OK;2;183,384;Adulto
Lucratividade Normal;Frete OK;23;167,229;Jovem
Alta Lucratividade;Frete OK;Pendente;726,6;Adulto
Lucratividade Normal;Frete OK;Pendente;99,936;Adulto
Lucratividade Normal;Frete OK;10;107,136;Adulto
Alta Lucratividade;Frete OK;Pendente;610,912;Adulto
Lucratividade Normal;Frete OK;18;206,856;Adulto
Lucratividade Normal;Frete OK;6;79,704;Jovem
Alta Lucratividade;Frete OK;Pendente;616,752;Jovem
Lucratividade Normal;Frete OK;12;55,964;Adulto
Alta Lucratividade;Frete OK;Pendente;310,232;Adulto
Alta Lucratividade;Frete OK;13;2219;Jovem
Lucratividade Normal;Frete OK;Pendente;25,56;Adulto
Alta Lucratividade;Frete OK;Pendente;2212,65;Jovem
Lucratividade Normal;Frete OK;5;155,211;Jovem
Lucratividade Normal;Frete OK;Pendente;232,2;Adulto
Lucratividade Normal;Frete OK;5;552,6;Jovem
Lucratividade Normal;Frete OK;Pendente;422,4;Adulto
Lucratividade Normal;Auditar Frete;17;26,078;Adulto
Alta Lucratividade;Frete OK;10;805,752;Adulto
Lucratividade Normal;Auditar Frete;Pendente;5,27;Adulto
Alta Lucratividade;Frete OK;Pendente;368,226;Adulto
Alta Lucratividade;Frete OK;18;289,44;Adulto
Alta Lucratividade;Frete OK;15;598,536;Adulto
Lucratividade Normal;Frete OK;18;344,088;Adulto
Lucratividade Normal;Frete OK;Pendente;43,738;Adulto
Alta Lucratividade;Frete OK;Pendente;371,52;Jovem
Lucratividade Normal;Frete OK;Pendente;130,032;Adulto
Lucratividade Normal;Frete OK;6;92,074;Adulto
Lucratividade Normal;Frete OK;4;64,6;Adulto
Lucratividade Normal;Frete OK;Pendente;160,004;Jovem
Alta Lucratividade;Frete OK;Pendente;263,196;Adulto
Alta Lucratividade;Frete OK;Pendente;899;Adulto
Lucratividade Normal;Frete OK;5;190,152;Adulto
Lucratividade Normal;Auditar Frete;Pendente;102,8;Jovem
Lucratividade Normal;Frete OK;Pendente;222,372;Adulto
Alta Lucratividade;Frete OK;2;525,312;Adulto
Lucratividade Normal;Frete OK;Pendente;186,3;Adulto
Alta Lucratividade;Frete OK;Pendente;322,164;Adulto
Alta Lucratividade;Frete OK;Pendente;525,924;Jovem
Alta Lucratividade;Frete OK;Pendente;614,8;Adulto
Alta Lucratividade;Frete OK;Pendente;790,33;Adulto
Alta Lucratividade;Frete OK;Pendente;260,372;Adulto
Alta Lucratividade;Frete OK;Pendente;1310,85;Adulto
Lucratividade Normal;Frete OK;Pendente;186,675;Jovem
Lucratividade Normal;Frete OK;Pendente;38,148;Adulto
Alta Lucratividade;Frete OK;Pendente;712,386;Adulto
Lucratividade Normal;Frete OK;Pendente;360,06;Adulto
Lucratividade Normal;Frete OK;14;75,168;Jovem
Lucratividade Normal;Frete OK;21;24,378;Adulto
Alta Lucratividade;Frete OK;6;1538,1;Adulto
Alta Lucratividade;Frete OK;4;2070;Adulto
Alta Lucratividade;Frete OK;5;845,75;Adulto
Lucratividade Normal;Frete OK;5;325,5;Adulto
Alta Lucratividade;Frete OK;18;402,192;Adulto
Lucratividade Normal;Frete OK;Pendente;201,195;Adulto
Lucratividade Normal;Auditar Frete;2;5,111;Adulto
Lucratividade Normal;Frete OK;8;267,3;Adulto
Lucratividade Normal;Frete OK;23;102,6;Adulto
Lucratividade Normal;Frete OK;Pendente;205,87;Adulto
Alta Lucratividade;Frete OK;Pendente;874,65;Adulto
Lucratividade Normal;Frete OK;Pendente;110,637;Adulto
Lucratividade Normal;Frete OK;Pendente;130,896;Adulto
Alta Lucratividade;Frete OK;Pendente;908;Adulto
Lucratividade Normal;Frete OK;Pendente;57,285;Adulto
Lucratividade Normal;Frete OK;18;215,4;Jovem
Alta Lucratividade;Frete OK;10;1861,65;Adulto
Lucratividade Normal;Frete OK;Pendente;163,88;Adulto
Lucratividade Normal;Frete OK;13;142,443;Adulto
Alta Lucratividade;Frete OK;14;458,584;Adulto
Lucratividade Normal;Frete OK;4;177,768;Jovem
Alta Lucratividade;Frete OK;25;482,94;Adulto
Alta Lucratividade;Frete OK;8;465,324;Adulto
Alta Lucratividade;Frete OK;Pendente;585,792;Adulto
Alta Lucratividade;Frete OK;17;1531;Adulto
Lucratividade Normal;Frete OK;Pendente;129,88;Adulto
Alta Lucratividade;Frete OK;Pendente;262,428;Adulto
Lucratividade Normal;Auditar Frete;25;131,95;Adulto
Alta Lucratividade;Frete OK;23;1670,9;Adulto
Alta Lucratividade;Frete OK;Pendente;351,702;Adulto
Lucratividade Normal;Frete OK;Pendente;198,72;Adulto
Lucratividade Normal;Frete OK;20;84,018;Adulto
Lucratividade Normal;Frete OK;15;144,25;Adulto
Alta Lucratividade;Frete OK;Pendente;676,5;Jovem
Lucratividade Normal;Frete OK;23;163,064;Adulto
Alta Lucratividade;Frete OK;3;587,4;Adulto
Lucratividade Normal;Frete OK;Pendente;71,145;Adulto
Lucratividade Normal;Frete OK;23;142,215;Adulto
Lucratividade Normal;Frete OK;15;73,916;Adulto
Lucratividade Normal;Auditar Frete;24;24;Adulto
Alta Lucratividade;Frete OK;4;319,345;Jovem
Alta Lucratividade;Frete OK;18;486,234;Adulto
Alta Lucratividade;Frete OK;23;1187,55;Adulto
Alta Lucratividade;Frete OK;23;407,778;Adulto
Alta Lucratividade;Frete OK;3;2477;Adulto
Alta Lucratividade;Frete OK;7;317,9;Adulto
Alta Lucratividade;Frete OK;11;571,2;Adulto
Alta Lucratividade;Frete OK;Pendente;602,091;Adulto
Lucratividade Normal;Auditar Frete;Pendente;7,752;Adulto
Alta Lucratividade;Frete OK;Pendente;424,365;Adulto
Alta Lucratividade;Frete OK;Pendente;479,736;Adulto
Alta Lucratividade;Frete OK;Pendente;460,53;Adulto
Lucratividade Normal;Frete OK;Pendente;85,177;Adulto
Lucratividade Normal;Frete OK;23;50,904;Adulto
Alta Lucratividade;Frete OK;19;332,12;Adulto
Lucratividade Normal;Frete OK;8;180,4;Adulto
Lucratividade Normal;Frete OK;15;34,119;Adulto
Lucratividade Normal;Frete OK;18;419,1;Adulto
Alta Lucratividade;Frete OK;Pendente;719,25;Jovem
Lucratividade Normal;Auditar Frete;Pendente;6,912;Adulto
Lucratividade Normal;Auditar Frete;Pendente;6,102;Adulto
Lucratividade Normal;Frete OK;6;82,944;Jovem
Alta Lucratividade;Frete OK;11;580,608;Adulto
Lucratividade Normal;Frete OK;3;287,4;Adulto
Lucratividade Normal;Frete OK;2;84,83;Adulto
Lucratividade Normal;Frete OK;Pendente;91,188;Adulto
Alta Lucratividade;Frete OK;Pendente;742,311;Adulto
Lucratividade Normal;Auditar Frete;2;2,788;Adulto
Lucratividade Normal;Frete OK;17;91,1;Adulto
Lucratividade Normal;Frete OK;12;107,61;Adulto
Lucratividade Normal;Auditar Frete;Pendente;56,4;Adulto
Lucratividade Normal;Auditar Frete;3;8,208;Adulto
Lucratividade Normal;Auditar Frete;Pendente;1,904;Adulto
Lucratividade Normal;Frete OK;Pendente;249;Adulto
Lucratividade Normal;Frete OK;3;252,3;Adulto
Alta Lucratividade;Frete OK;Pendente;451,836;Adulto
Alta Lucratividade;Frete OK;Pendente;452,088;Adulto
Lucratividade Normal;Frete OK;21;157,092;Jovem
Alta Lucratividade;Frete OK;19;411,264;Adulto
Lucratividade Normal;Frete OK;6;271;Adulto
Alta Lucratividade;Frete OK;9;491,652;Adulto
Alta Lucratividade;Frete OK;Pendente;448,812;Adulto
Alta Lucratividade;Frete OK;15;1264;Adulto
Lucratividade Normal;Auditar Frete;Pendente;35,34;Jovem
Alta Lucratividade;Frete OK;17;448,578;Adulto
Lucratividade Normal;Frete OK;4;245,385;Adulto
Alta Lucratividade;Frete OK;7;1213,5;Jovem
Lucratividade Normal;Frete OK;22;204,75;Adulto
Lucratividade Normal;Frete OK;Pendente;325,052;Adulto
Alta Lucratividade;Frete OK;Pendente;242,28;Jovem
Alta Lucratividade;Frete OK;Pendente;370,116;Jovem
Lucratividade Normal;Auditar Frete;Pendente;36,324;Adulto
Lucratividade Normal;Frete OK;Pendente;86,298;Adulto
Lucratividade Normal;Frete OK;Pendente;240;Adulto
Lucratividade Normal;Frete OK;Pendente;194;Adulto
Alta Lucratividade;Frete OK;21;278,46;Jovem
Lucratividade Normal;Frete OK;Pendente;237,2;Adulto
Alta Lucratividade;Frete OK;5;248,976;Adulto
Alta Lucratividade;Frete OK;Pendente;425,376;Jovem
Alta Lucratividade;Frete OK;17;730,134;Adulto
Lucratividade Normal;Frete OK;Pendente;11,324;Jovem
Lucratividade Normal;Frete OK;2;68,742;Adulto
Alta Lucratividade;Frete OK;12;332,352;Adulto
Alta Lucratividade;Frete OK;Pendente;276,48;Adulto
Alta Lucratividade;Frete OK;8;350,64;Adulto
Lucratividade Normal;Frete OK;23;73,95;Adulto
Alta Lucratividade;Frete OK;Pendente;271,872;Adulto
Alta Lucratividade;Frete OK;Pendente;288,32;Adulto
Alta Lucratividade;Frete OK;Pendente;228,258;Adulto
Lucratividade Normal;Frete OK;3;227,4;Jovem
Alta Lucratividade;Frete OK;Pendente;632,57;Adulto
Alta Lucratividade;Frete OK;5;1426,25;Adulto
Lucratividade Normal;Frete OK;22;79,526;Adulto
Lucratividade Normal;Frete OK;19;85,044;Jovem
Lucratividade Normal;Frete OK;Pendente;40,77;Adulto
Lucratividade Normal;Frete OK;Pendente;551,616;Adulto
Lucratividade Normal;Frete OK;15;73,287;Adulto
Lucratividade Normal;Auditar Frete;24;48,28;Adulto
Lucratividade Normal;Frete OK;Pendente;133,8;Jovem
Lucratividade Normal;Frete OK;Pendente;518;Adulto
Lucratividade Normal;Frete OK;Pendente;273,615;Jovem
Alta Lucratividade;Frete OK;19;396,72;Adulto
Lucratividade Normal;Frete OK;6;426,6;Adulto
Lucratividade Normal;Frete OK;Pendente;152,95;Adulto
Alta Lucratividade;Frete OK;Pendente;1159,2;Jovem
Lucratividade Normal;Auditar Frete;Pendente;8,67;Adulto
Alta Lucratividade;Frete OK;Pendente;1653,3;Adulto
Alta Lucratividade;Frete OK;Pendente;419,04;Adulto
Alta Lucratividade;Frete OK;6;1280,5;Adulto
Alta Lucratividade;Frete OK;6;252,365;Adulto
Lucratividade Normal;Frete OK;24;161,5;Adulto
Lucratividade Normal;Frete OK;7;176,776;Adulto
Lucratividade Normal;Frete OK;11;275,88;Adulto
Lucratividade Normal;Frete OK;3;408;Jovem
Lucratividade Normal;Frete OK;Pendente;33,136;Adulto
Alta Lucratividade;Frete OK;Pendente;1055,1;Adulto
Alta Lucratividade;Frete OK;Pendente;531,867;Jovem
Alta Lucratividade;Frete OK;Pendente;273,564;Jovem
Lucratividade Normal;Auditar Frete;Pendente;68,932;Adulto
Lucratividade Normal;Frete OK;20;136,04;Adulto
Alta Lucratividade;Frete OK;5;394,56;Adulto
Alta Lucratividade;Frete OK;Pendente;374,969;Adulto
Lucratividade Normal;Auditar Frete;14;7,56;Adulto
Lucratividade Normal;Frete OK;Pendente;459,6;Adulto
Alta Lucratividade;Frete OK;Pendente;2131,65;Adulto
Lucratividade Normal;Frete OK;24;113,85;Adulto
Lucratividade Normal;Auditar Frete;5;46,284;Adulto
Lucratividade Normal;Auditar Frete;Pendente;172,6;Adulto
Lucratividade Normal;Frete OK;6;103,208;Adulto
Alta Lucratividade;Frete OK;8;711,936;Adulto
Alta Lucratividade;Frete OK;Pendente;262,65;Jovem
Alta Lucratividade;Frete OK;Pendente;747,65;Adulto
Alta Lucratividade;Frete OK;Pendente;365,328;Adulto
Lucratividade Normal;Frete OK;5;51,048;Jovem
Alta Lucratividade;Frete OK;Pendente;1457,75;Adulto
Lucratividade Normal;Frete OK;Pendente;75,012;Adulto
Lucratividade Normal;Frete OK;13;164,39;Adulto
Lucratividade Normal;Frete OK;Pendente;52,288;Jovem
Lucratividade Normal;Frete OK;Pendente;184,1;Adulto
Lucratividade Normal;Frete OK;9;60,552;Jovem
Alta Lucratividade;Frete OK;21;704,85;Adulto
Alta Lucratividade;Frete OK;23;398,34;Adulto
Alta Lucratividade;Frete OK;10;427,266;Adulto
Lucratividade Normal;Frete OK;Pendente;244,5;Adulto
Alta Lucratividade;Frete OK;Pendente;607,25;Jovem
Lucratividade Normal;Frete OK;Pendente;201,6;Adulto
Lucratividade Normal;Frete OK;22;201,008;Adulto
Lucratividade Normal;Frete OK;Pendente;221,255;Jovem
Alta Lucratividade;Frete OK;20;622,35;Adulto
Lucratividade Normal;Frete OK;21;69,102;Adulto
Lucratividade Normal;Frete OK;20;85,842;Jovem
Lucratividade Normal;Auditar Frete;8;54,604;Adulto
Lucratividade Normal;Frete OK;2;56,916;Adulto
Lucratividade Normal;Frete OK;24;125,5;Jovem
Alta Lucratividade;Frete OK;10;1298,5;Adulto
Lucratividade Normal;Frete OK;25;102,068;Adulto
Lucratividade Normal;Auditar Frete;Pendente;8,262;Adulto
Lucratividade Normal;Frete OK;Pendente;128,44;Adulto
Alta Lucratividade;Frete OK;10;471,618;Adulto
Alta Lucratividade;Frete OK;Pendente;1926;Adulto
Lucratividade Normal;Frete OK;15;45,645;Jovem
Lucratividade Normal;Frete OK;Pendente;154,9;Adulto
Lucratividade Normal;Frete OK;Pendente;176,103;Adulto
Lucratividade Normal;Frete OK;13;49,844;Jovem
Alta Lucratividade;Frete OK;Pendente;405,555;Jovem
Alta Lucratividade;Frete OK;Pendente;524,034;Adulto
Lucratividade Normal;Frete OK;9;91,098;Adulto
Lucratividade Normal;Frete OK;15;194,259;Adulto
Lucratividade Normal;Frete OK;19;103,113;Adulto
Lucratividade Normal;Frete OK;Pendente;456,6;Jovem
Lucratividade Normal;Frete OK;16;679,5;Adulto
Lucratividade Normal;Frete OK;Pendente;144,1;Adulto
Alta Lucratividade;Frete OK;19;245,67;Adulto
Lucratividade Normal;Frete OK;24;116,388;Adulto
Lucratividade Normal;Auditar Frete;15;8,5;Adulto
Alta Lucratividade;Frete OK;Pendente;631,26;Adulto
Lucratividade Normal;Frete OK;18;64,258;Adulto
Alta Lucratividade;Frete OK;15;325,872;Adulto
Lucratividade Normal;Frete OK;Pendente;55,062;Adulto
Lucratividade Normal;Auditar Frete;Pendente;12,312;Adulto
Lucratividade Normal;Auditar Frete;12;4,158;Adulto
Lucratividade Normal;Frete OK;Pendente;91,868;Adulto
Alta Lucratividade;Frete OK;14;239,343;Adulto
Lucratividade Normal;Frete OK;25;64,315;Adulto
Lucratividade Normal;Frete OK;11;166,86;Adulto
Lucratividade Normal;Frete OK;Pendente;274,65;Adulto
Alta Lucratividade;Frete OK;Pendente;792;Adulto
Alta Lucratividade;Frete OK;Pendente;421,47;Jovem
Lucratividade Normal;Auditar Frete;Pendente;40,698;Adulto
Alta Lucratividade;Frete OK;22;470,322;Adulto
